fecha_hora,fecha,anio,mes,dia,hora,minuto,dia_semana,unidad,unidad_id,mes_origen,potencia_efectiva,objetivo_t_1,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,media_movil_4,media_movil_12,media_movil_24
2024-12-02 21:45:00,2024-12-02,2024,12,2,21,45,0,G2,2,Diciem,11.64849,11.867155,11.763858,11.604355,11.646752,11.782972,11.655703,11.65227,11.792262,11.547762,11.403282,11.464453,11.262797,11.2567,11.208547,11.459357,11.186478,11.880435,11.838672,11.89918,11.57454,11.78596,11.577423,11.874493,11.378095,12.163885,11.69948425,11.569430500000001,11.610842958333334
2024-12-02 22:00:00,2024-12-02,2024,12,2,22,0,0,G1,1,Diciem,10.736232,10.901385,10.920093,10.932828,10.919545,10.936845,10.970575,10.94942,10.973612,10.956855,10.95162,11.214612,11.52096,11.340393,11.303852,11.236945,11.48677,11.21941,10.715483,10.706568,11.206215,10.798882,10.872958,11.14555,10.857845,10.5795,10.92732775,11.0489465,11.029888999999999
2024-12-02 22:00:00,2024-12-02,2024,12,2,22,0,0,G2,2,Diciem,11.867155,12.101275,11.64849,11.763858,11.604355,11.646752,11.782972,11.655703,11.65227,11.792262,11.547762,11.403282,11.464453,11.262797,11.2567,11.208547,11.459357,11.186478,11.880435,11.838672,11.89918,11.57454,11.78596,11.577423,11.874493,11.378095,11.66586375,11.602079666666667,11.589368166666667
2024-12-02 22:15:00,2024-12-02,2024,12,2,22,15,0,G1,1,Diciem,10.901385,10.969535,10.736232,10.920093,10.932828,10.919545,10.936845,10.970575,10.94942,10.973612,10.956855,10.95162,11.214612,11.52096,11.340393,11.303852,11.236945,11.48677,11.21941,10.715483,10.706568,11.206215,10.798882,10.872958,11.14555,10.857845,10.877174499999999,10.998599749999999,11.036419500000001
2024-12-02 22:15:00,2024-12-02,2024,12,2,22,15,0,G2,2,Diciem,12.101275,11.661513,11.867155,11.64849,11.763858,11.604355,11.646752,11.782972,11.655703,11.65227,11.792262,11.547762,11.403282,11.464453,11.262797,11.2567,11.208547,11.459357,11.186478,11.880435,11.838672,11.89918,11.57454,11.78596,11.577423,11.874493,11.720964500000001,11.652442833333334,11.609745666666667
2024-12-02 22:30:00,2024-12-02,2024,12,2,22,30,0,G1,1,Diciem,10.969535,10.903135,10.901385,10.736232,10.920093,10.932828,10.919545,10.936845,10.970575,10.94942,10.973612,10.956855,10.95162,11.214612,11.52096,11.340393,11.303852,11.236945,11.48677,11.21941,10.715483,10.706568,11.206215,10.798882,10.872958,11.14555,10.8726345,10.946968499999999,11.038233666666665
2024-12-02 22:30:00,2024-12-02,2024,12,2,22,30,0,G2,2,Diciem,11.661513,11.37077,12.101275,11.867155,11.64849,11.763858,11.604355,11.646752,11.782972,11.655703,11.65227,11.792262,11.547762,11.403282,11.464453,11.262797,11.2567,11.208547,11.459357,11.186478,11.880435,11.838672,11.89918,11.57454,11.78596,11.577423,11.8451945,11.705511333333334,11.619194916666666
2024-12-02 22:45:00,2024-12-02,2024,12,2,22,45,0,G1,1,Diciem,10.903135,10.986788,10.969535,10.901385,10.736232,10.920093,10.932828,10.919545,10.936845,10.970575,10.94942,10.973612,10.956855,10.95162,11.214612,11.52096,11.340393,11.303852,11.236945,11.48677,11.21941,10.715483,10.706568,11.206215,10.798882,10.872958,10.88181125,10.926545416666665,11.030899708333335
2024-12-02 22:45:00,2024-12-02,2024,12,2,22,45,0,G2,2,Diciem,11.37077,12.154668,11.661513,12.101275,11.867155,11.64849,11.763858,11.604355,11.646752,11.782972,11.655703,11.65227,11.792262,11.547762,11.403282,11.464453,11.262797,11.2567,11.208547,11.459357,11.186478,11.880435,11.838672,11.89918,11.57454,11.78596,11.81960825,11.727030583333333,11.622698666666667
2024-12-02 23:00:00,2024-12-02,2024,12,2,23,0,0,G1,1,Diciem,10.986788,11.132412,10.903135,10.969535,10.901385,10.736232,10.920093,10.932828,10.919545,10.936845,10.970575,10.94942,10.973612,10.956855,10.95162,11.214612,11.52096,11.340393,11.303852,11.236945,11.48677,11.21941,10.715483,10.706568,11.206215,10.798882,10.87757175,10.922505000000001,11.032157083333333
2024-12-02 23:00:00,2024-12-02,2024,12,2,23,0,0,G2,2,Diciem,12.154668,11.061155,11.37077,11.661513,12.101275,11.867155,11.64849,11.763858,11.604355,11.646752,11.782972,11.655703,11.65227,11.792262,11.547762,11.403282,11.464453,11.262797,11.2567,11.208547,11.459357,11.186478,11.880435,11.838672,11.89918,11.57454,11.75017825,11.712281249999998,11.605399083333333
2024-12-03 18:00:00,2024-12-03,2024,12,3,18,0,1,G1,1,Diciem,11.132412,11.51804,10.986788,10.903135,10.969535,10.901385,10.736232,10.920093,10.932828,10.919545,10.936845,10.970575,10.94942,10.973612,10.956855,10.95162,11.214612,11.52096,11.340393,11.303852,11.236945,11.48677,11.21941,10.715483,10.706568,11.206215,10.94021075,10.924999416666667,11.0399865
